model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_quant,breastcancer,32,32,8,0.0,0.9956043956043956,0.9473684210526315,982
lgbm_base,kin8nm,128,128,4,0.0,0.01678120113919843,0.023923748285465972,3288
lgbm_quant,kin8nm,128,128,4,0.0,0.016801177978441245,0.023919279534033742,3288
lgbm_base,breastcancer,1,1,8,0.0,0.6329670329670329,0.6052631578947368,17
lgbm_quant,breastcancer,1,1,8,0.0,0.6329670329670329,0.6052631578947368,17
lgbm_base,covtype,256,256,8,0.0,0.8722206325609013,0.8656747244047056,15616
lgbm_base,kin8nm,1,1,8,0.0,0.06292497066826885,0.0653434237063946,61
lgbm_quant,kin8nm,1,1,8,0.0,0.06293183827428055,0.06534725531245866,61
lgbm_base,kin8nm,4,4,1,0.0,0.059890298240104584,0.061533426162836566,12
lgbm_quant,kin8nm,4,4,1,0.0,0.05988766617827024,0.06153007898269175,12
lgbm_base,kin8nm,16,16,4,0.0,0.036652412317449416,0.04017466977853468,496
lgbm_quant,kin8nm,16,16,4,0.0,0.0366576725231906,0.04017968220772724,496
lgbm_base,mushroom,8,8,2,0.0,0.9244499153715956,0.9267692307692308,56
lgbm_quant,mushroom,8,8,2,0.0,0.9244499153715956,0.9267692307692308,56
lgbm_base,mushroom,128,128,1,0.0,0.9787659639944607,0.9815384615384616,384
lgbm_quant,mushroom,128,128,1,0.0,0.9787659639944607,0.9815384615384616,384
lgbm_base,mushroom,32,32,8,0.0,1.0,1.0,1902
lgbm_quant,mushroom,32,32,8,0.0,1.0,1.0,1902
lgbm_base,california_housing,1,1,8,0.0,1.1640919805635146,1.183405043865271,61
lgbm_quant,california_housing,1,1,8,0.0,1.1642986216632931,1.1835607045278562,61
lgbm_base,kin8nm,8,8,2,0.0,0.051060184668120685,0.05312395892640106,56
lgbm_quant,kin8nm,8,8,2,0.0,0.05107800925177921,0.053139482232845286,56
lgbm_base,mushroom,4,4,1,0.0,0.7978150484689952,0.819076923076923,12
lgbm_quant,mushroom,4,4,1,0.0,0.7978150484689952,0.819076923076923,12
lgbm_base,mushroom,1,1,8,0.0,0.99523003539006,0.9969230769230769,55
lgbm_quant,mushroom,1,1,8,0.0,0.99523003539006,0.9969230769230769,55
lgbm_base,mushroom,16,16,4,0.0,0.9926142483458994,0.9926153846153846,414
lgbm_quant,mushroom,16,16,4,0.0,0.9926142483458994,0.9926153846153846,414
lgbm_base,california_housing,4,4,1,0.0,1.0778690788012046,1.0995719172390273,12
lgbm_quant,california_housing,4,4,1,0.0,1.0783663655903737,1.1000807636731165,12
lgbm_base,california_housing,128,128,1,0.0,0.43638072517488297,0.46201277585633616,384
lgbm_base,kin8nm,64,64,1,0.0,0.04282196779106657,0.04468905480811636,192
