model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
cegb,breastcancer,512,35,8,0.0078125,0.9956043956043956,0.956140350877193,401
cegb,breastcancer,2,2,2,0.0,0.6285714285714286,0.6228070175438597,14
cegb,breastcancer,1024,25,8,0.03125,0.9846153846153847,0.9649122807017544,171
cegb,covtype,1024,1024,8,0.0,0.9378949202790824,0.926688639708097,62464
cegb,breastcancer,1024,35,8,0.0078125,0.9956043956043956,0.956140350877193,401
cegb,kr-vs-kp,1,1,4,0.125,0.9432707355242567,0.93125,11
cegb,breastcancer,1024,2,2,0.5,0.6285714285714286,0.6228070175438597,6
cegb,kr-vs-kp,1,1,8,0.03125,0.9557902973395931,0.9375,31
cegb,kr-vs-kp,2,1,4,0.5,0.5199530516431925,0.53125,1
cegb,breastcancer,1024,13,8,0.125,0.9516483516483516,0.9473684210526315,45
cegb,breastcancer,1024,13,4,0.125,0.9516483516483516,0.9473684210526315,45
cegb,kr-vs-kp,1,1,2,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,2,2,8,0.125,0.9432707355242567,0.93125,20
cegb,breastcancer,1024,2,8,0.5,0.6285714285714286,0.6228070175438597,6
cegb,kr-vs-kp,2,2,1,0.0078125,0.6678403755868545,0.63125,6
cegb,breastcancer,2,2,4,0.25,0.6285714285714286,0.6228070175438597,6
cegb,kr-vs-kp,4,4,2,0.0078125,0.9025821596244131,0.9109375,20
cegb,kr-vs-kp,16,1,1,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,4,4,1,0.03125,0.7554773082942097,0.7515625,12
cegb,kr-vs-kp,8,8,2,0.03125,0.9025821596244131,0.9109375,42
cegb,kr-vs-kp,8,7,1,0.125,0.9025821596244131,0.9109375,21
cegb,kr-vs-kp,16,3,2,0.125,0.9025821596244131,0.9109375,15
cegb,kr-vs-kp,8,8,4,0.0078125,0.9432707355242567,0.93125,88
cegb,kr-vs-kp,16,16,8,0.0078125,0.9698748043818466,0.9453125,500
cegb,kr-vs-kp,4,1,8,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,32,3,4,0.125,0.9432707355242567,0.93125,29
cegb,kr-vs-kp,16,14,4,0.03125,0.9432707355242567,0.93125,134
cegb,kr-vs-kp,64,3,8,0.125,0.9432707355242567,0.93125,29
cegb,kr-vs-kp,32,14,8,0.03125,0.9675273865414711,0.9484375,270
cegb,kr-vs-kp,32,1,2,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,64,64,1,0.0078125,0.9417057902973396,0.925,192
cegb,breastcancer,2,2,8,0.0625,0.6285714285714286,0.6228070175438597,12
cegb,kr-vs-kp,64,1,4,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,256,7,1,0.125,0.9025821596244131,0.9109375,21
cegb,kr-vs-kp,128,52,2,0.0078125,0.9432707355242567,0.93125,326
cegb,kr-vs-kp,128,49,1,0.03125,0.9417057902973396,0.925,147
cegb,kr-vs-kp,512,1,1,0.5,0.5199530516431925,0.53125,1
cegb,breastcancer,256,35,8,0.0078125,0.9956043956043956,0.956140350877193,401
cegb,kr-vs-kp,512,3,2,0.125,0.9025821596244131,0.9109375,15
cegb,breastcancer,4,4,1,0.015625,0.8857142857142857,0.9035087719298246,12
cegb,kr-vs-kp,128,1,8,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,256,19,2,0.03125,0.9432707355242567,0.93125,111
cegb,kr-vs-kp,512,26,8,0.0078125,0.9769170579029735,0.9578125,784
