model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
lgbm_quant,breastcancer,32,32,1,0.0,0.9626373626373628,0.0,0.956140350877193,96,0.932967032967033
ccp,kr-vs-kp,1,1,8,0.03125,1.253571917521416,0.0,0.903125,7,0.9045369068003914
ccp,kr-vs-kp,32,32,4,0.125,1.383461917825569,0.0,0.5046875,32,0.5266060726516634
cegb,kr-vs-kp,512,13,4,0.03125,0.9389671361502347,0.0,0.9484375,133,0.93896771037182
cegb,breastcancer,256,36,4,0.0078125,0.989010989010989,0.0,0.9649122807017544,398,0.9516483516483516
cegb,breastcancer,256,13,1,0.125,0.9406593406593406,0.0,0.956140350877193,39,0.9208791208791208
cegb,breastcancer,1024,2,2,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,kr-vs-kp,512,3,8,0.125,0.9389671361502347,0.0,0.9484375,43,0.93896771037182
cegb,breastcancer,8,8,1,0.125,0.931868131868132,0.0,0.9473684210526316,24,0.90989010989011
cegb,kr-vs-kp,128,1,8,0.5,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,breastcancer,1024,13,4,0.125,0.9472527472527472,0.0,0.9473684210526316,47,0.923076923076923
ccp,kr-vs-kp,8,8,1,0.125,1.383461917825569,0.0,0.5046875,8,0.5266060726516634
cegb,kr-vs-kp,1024,13,8,0.03125,0.961658841940532,0.0,0.9625,299,0.9565741193737768
lgbm_base,breastcancer,64,64,2,0.0,0.9956043956043956,0.0,0.9824561403508772,448,0.9538461538461538
lgbm_quant,breastcancer,64,64,2,0.0,0.9956043956043956,0.0,0.9824561403508772,448,0.9538461538461538
cegb,kr-vs-kp,1024,1,2,0.5,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
ccp,kr-vs-kp,1,1,2,0.5,1.3834619178255694,0.0,0.5046875,1,0.5266060726516634
cegb,breastcancer,128,2,8,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
ccp,kr-vs-kp,4,4,8,0.5,1.3834619178255694,0.0,0.5046875,4,0.5266060726516634
cegb,breastcancer,1024,2,8,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
ccp,kr-vs-kp,16,16,4,0.03125,1.0600317234770429,0.0,0.903125,34,0.9045369068003914
ccp,kr-vs-kp,32,32,8,0.03125,1.0600317142844402,0.0,0.903125,50,0.9045369068003914
cegb,breastcancer,1024,35,8,0.0078125,0.9934065934065934,0.0,0.9649122807017544,449,0.9472527472527472
cegb,breastcancer,1024,13,8,0.125,0.9472527472527472,0.0,0.9473684210526316,47,0.923076923076923
lgbm_base,breastcancer,128,128,4,0.0,1.0,0.0,0.9824561403508772,2492,0.9615384615384616
lgbm_quant,breastcancer,128,128,4,0.0,1.0,0.0,0.9824561403508772,2492,0.9615384615384616
cegb,breastcancer,64,64,1,0.0078125,0.9802197802197802,0.0,0.956140350877193,192,0.9428571428571428
lgbm_base,breastcancer,256,256,8,0.0,1.0,0.0,0.9824561403508772,6204,0.9637362637362636
cegb,kr-vs-kp,512,26,8,0.0078125,0.9745696400625978,0.0,0.975,904,0.9624426675636008
cegb,kr-vs-kp,1024,3,8,0.125,0.9389671361502347,0.0,0.9484375,43,0.93896771037182
lgbm_quant,breastcancer,256,256,8,0.0,1.0,0.0,0.9824561403508772,6204,0.9637362637362636
ccp,breastcancer,128,128,1,0.03125,0.6252598768928914,0.0,0.9210526315789472,148,0.9164835164835164
cegb,kr-vs-kp,1024,1,8,0.5,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,1024,26,8,0.0078125,0.9745696400625978,0.0,0.975,904,0.9624426675636008
ccp,kr-vs-kp,8,8,4,0.0078125,0.6929814730451922,0.0,0.9484375,72,0.93896771037182
cegb,kr-vs-kp,1024,3,4,0.125,0.9389671361502347,0.0,0.9484375,33,0.93896771037182
ccp,breastcancer,128,128,2,0.0078125,0.3826298980926151,0.0,0.9736842105263158,184,0.934065934065934
ccp,kr-vs-kp,64,64,4,0.5,1.383461917825569,0.0,0.5046875,64,0.5266060726516634
ccp,kr-vs-kp,256,256,2,0.03125,1.0911771200587737,0.0,0.903125,274,0.8756306568003914
ccp,breastcancer,64,64,8,0.125,1.0938639658191178,0.0,0.6666666666666666,68,0.6175824175824176
ccp,kr-vs-kp,512,512,1,0.5,1.383461917825569,0.0,0.5046875,512,0.5266060726516634
ccp,kr-vs-kp,64,64,8,0.125,1.383461917825569,0.0,0.5046875,64,0.5266060726516634
ccp,kr-vs-kp,128,128,8,0.5,1.383461917825569,0.0,0.5046875,128,0.5266060726516634
ccp,kr-vs-kp,512,512,2,0.125,1.383461917825569,0.0,0.5046875,512,0.5266060726516634
ccp,breastcancer,256,256,1,0.125,1.0938639658069262,0.0,0.6666666666666666,260,0.6175824175824176
ccp,breastcancer,128,128,8,0.5,1.3304705119849312,0.0,0.6666666666666666,128,0.6175824175824176
ccp,kr-vs-kp,256,256,4,0.0078125,0.6291108338697758,0.0,0.9484375,332,0.93896771037182
