model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
ccp,kr-vs-kp,32,32,4,0.125,1.3832927686112306,0.0,0.5015625,32,0.5273919092465753
cegb,kr-vs-kp,16,1,1,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
ccp,breastcancer,128,128,1,0.03125,0.6073846341285952,0.0,0.9210526315789472,148,0.912087912087912
ccp,kr-vs-kp,32,32,8,0.03125,1.0613147972364363,0.0,0.9078125,50,0.9033657962328766
lgbm_base,breastcancer,64,64,2,0.0,0.9934065934065934,0.0,0.9649122807017544,448,0.9516483516483516
lgbm_quant,breastcancer,64,64,2,0.0,0.9934065934065934,0.0,0.9649122807017544,448,0.9516483516483516
cegb,kr-vs-kp,1024,3,8,0.125,0.940923317683881,0.0,0.940625,29,0.9409246575342464
ccp,kr-vs-kp,4,4,8,0.5,1.3832927686112306,0.0,0.5015625,4,0.5273919092465753
cegb,kr-vs-kp,1024,1,2,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
ccp,kr-vs-kp,8,8,4,0.0078125,0.6891241430198279,0.0,0.940625,72,0.9409246575342464
cegb,breastcancer,1024,2,8,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.720879120879121
cegb,kr-vs-kp,512,26,8,0.0078125,0.979264475743349,0.0,0.975,836,0.9679221196183952
lgbm_base,breastcancer,256,256,8,0.0,1.0,0.0,0.9736842105263158,6038,0.9670329670329668
lgbm_quant,breastcancer,256,256,8,0.0,1.0,0.0,0.9736842105263158,6038,0.9670329670329668
cegb,kr-vs-kp,1024,13,8,0.03125,0.9640062597809076,0.0,0.9578125,287,0.9593146098336596
cegb,kr-vs-kp,1024,26,8,0.0078125,0.979264475743349,0.0,0.975,836,0.9679221196183952
ccp,kr-vs-kp,256,256,2,0.03125,1.1643630767121416,0.0,0.9078125,268,0.9033657962328766
lgbm_base,breastcancer,128,128,4,0.0,1.0,0.0,0.9736842105263158,2544,0.9658119658119656
lgbm_quant,breastcancer,128,128,4,0.0,1.0,0.0,0.9736842105263158,2544,0.9658119658119656
ccp,breastcancer,128,128,2,0.0078125,0.3651893528590635,0.0,0.9649122807017544,182,0.923076923076923
cegb,kr-vs-kp,1024,3,4,0.125,0.940923317683881,0.0,0.940625,29,0.9409246575342464
ccp,kr-vs-kp,64,64,4,0.5,1.3832927686112306,0.0,0.5015625,64,0.5273919092465753
ccp,kr-vs-kp,512,512,1,0.5,1.3832927686112306,0.0,0.5015625,512,0.5273919092465753
ccp,breastcancer,64,64,8,0.125,1.0843977615512268,0.0,0.6578947368421053,68,0.6703296703296704
ccp,kr-vs-kp,64,64,8,0.125,1.3832927686112306,0.0,0.5015625,64,0.5273919092465753
ccp,breastcancer,256,256,1,0.125,1.0843977615377869,0.0,0.6578947368421053,260,0.6703296703296704
ccp,kr-vs-kp,512,512,2,0.125,1.3832927686112306,0.0,0.5015625,512,0.5273919092465753
ccp,kr-vs-kp,128,128,8,0.5,1.3832927686112306,0.0,0.5015625,128,0.5273919092465753
ccp,kr-vs-kp,256,256,4,0.0078125,0.625485569448251,0.0,0.940625,332,0.9409246575342464
ccp,breastcancer,128,128,8,0.5,1.328343234153928,0.0,0.6578947368421053,128,0.6197802197802198
ccp,breastcancer,256,256,2,0.03125,0.607384634128595,0.0,0.9210526315789472,276,0.9076923076923076
ccp,breastcancer,512,512,1,0.5,1.328343234153928,0.0,0.6578947368421053,512,0.6197802197802198
ccp,kr-vs-kp,1024,1024,2,0.5,1.3832927686112306,0.0,0.5015625,1024,0.5273919092465753
ccp,breastcancer,256,256,4,0.0078125,0.3651893528590629,0.0,0.9649122807017544,310,0.9274725274725274
ccp,kr-vs-kp,512,512,4,0.03125,1.0613147968816,0.0,0.9078125,530,0.9033657962328766
ccp,breastcancer,512,512,2,0.125,1.084397761537787,0.0,0.6578947368421053,516,0.6703296703296704
ccp,kr-vs-kp,512,512,8,0.0078125,0.6189728797201115,0.0,0.940625,590,0.9409246575342464
ccp,kr-vs-kp,512,512,8,0.125,1.3832927686112306,0.0,0.5015625,512,0.5273919092465753
ccp,kr-vs-kp,1024,1024,4,0.125,1.3832927686112306,0.0,0.5015625,1024,0.5273919092465753
ccp,breastcancer,512,512,4,0.03125,0.6073846341285953,0.0,0.9210526315789472,532,0.9076923076923076
ccp,breastcancer,1024,1024,2,0.5,1.328343234153928,0.0,0.6578947368421053,1024,0.6197802197802198
ccp,breastcancer,512,512,8,0.125,1.084397761537787,0.0,0.6578947368421053,516,0.6703296703296704
ccp,kr-vs-kp,1024,1024,8,0.0078125,0.6189728797201115,0.0,0.940625,1102,0.9409246575342464
ccp,kr-vs-kp,1024,1024,8,0.5,1.3832927686112306,0.0,0.5015625,1024,0.5273919092465753
ccp,kr-vs-kp,1024,1024,8,0.125,1.3832927686112306,0.0,0.5015625,1024,0.5273919092465753
ccp,kr-vs-kp,1024,1024,8,0.03125,1.0613147968816,0.0,0.9078125,1042,0.9033657962328766
ccp,breastcancer,512,512,8,0.0078125,0.3651893528590632,0.0,0.9649122807017544,566,0.9274725274725274
ccp,breastcancer,1024,1024,4,0.125,1.084397761537787,0.0,0.6578947368421053,1028,0.6703296703296704
ccp,breastcancer,1024,1024,8,0.5,1.328343234153928,0.0,0.6578947368421053,1024,0.6197802197802198
ccp,breastcancer,1024,1024,8,0.125,1.084397761537787,0.0,0.6578947368421053,1028,0.6703296703296704
ccp,breastcancer,1024,1024,8,0.03125,0.6073846341285953,0.0,0.9210526315789472,1044,0.9076923076923076
ccp,breastcancer,1024,1024,8,0.0078125,0.3651893528590632,0.0,0.9649122807017544,1078,0.9274725274725274
ccp,kr-vs-kp,2,2,4,0.25,1.3832927686112306,0.0,0.5015625,2,0.5273919092465753
cegb,breastcancer,4,4,8,0.25,0.8967032967032967,0.0,0.868421052631579,12,0.8989010989010989
cegb,breastcancer,64,7,4,0.25,0.9362637362637364,0.0,0.9298245614035088,21,0.912087912087912
cegb,breastcancer,2,2,2,0.0,0.6197802197802198,0.0,0.6578947368421053,14,0.7164835164835166
cegb,kr-vs-kp,8,8,2,0.015625,0.9033646322378716,0.0,0.9078125,44,0.9033657962328766
cegb,breastcancer,1,1,2,0.25,0.6197802197802198,0.0,0.6578947368421053,3,0.6197802197802198
lgbm_base,kr-vs-kp,32,32,1,0.0,0.9033646322378716,0.0,0.9078125,96,0.9033657962328768
lgbm_quant,kr-vs-kp,32,32,1,0.0,0.9033646322378716,0.0,0.9078125,96,0.9033657962328768
cegb,breastcancer,64,19,8,0.0625,0.9604395604395604,0.0,0.9473684210526316,89,0.9252747252747252
cegb,breastcancer,2,2,8,0.0625,0.8219780219780219,0.0,0.8333333333333334,18,0.6703296703296704
cegb,breastcancer,8,8,8,0.0,0.9648351648351648,0.0,0.956140350877193,246,0.9142857142857144
cegb,breastcancer,1,1,8,0.015625,0.6197802197802198,0.0,0.6578947368421053,9,0.6197802197802198
cegb,kr-vs-kp,4,4,4,0.0,0.940923317683881,0.0,0.940625,66,0.9409246575342464
cegb,kr-vs-kp,2,1,4,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,1,1,8,0.015625,0.9550078247261344,0.0,0.9625,47,0.9424863931017612
cegb,kr-vs-kp,2,2,2,0.0,0.9033646322378716,0.0,0.9078125,10,0.9033657962328766
