model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes
lgbm_base,kin8nm,1,1,4,0.0,0.06356223368281873,0.06465341978111809,0.06739544222972305,31
lgbm_quant,kin8nm,1,1,4,0.0,0.06354239481206639,0.06463907161926435,0.06737637575372774,31
lgbm_base,mushroom,512,512,2,0.0,1.0,1.0,1.0,3580
lgbm_base,kin8nm,2,2,8,0.0,0.057412230706288536,0.05902650404035628,0.06126836067467542,122
lgbm_quant,kin8nm,2,2,8,0.0,0.057411585750427624,0.05903266076575195,0.06126796995180577,122
lgbm_quant,mushroom,512,512,2,0.0,1.0,1.0,1.0,3580
lgbm_base,breastcancer,128,128,1,0.0,0.9902200488997555,1.0,0.956140350877193,384
lgbm_quant,breastcancer,128,128,1,0.0,0.9902200488997555,1.0,0.956140350877193,384
lgbm_quant,covtype,1024,1024,1,0.0,0.49498957755636724,0.49652546201673803,0.4925518274054887,3072
lgbm_base,california_housing,32,32,4,0.0,0.3106813065950958,0.3302836128041761,0.33794006140012645,976
lgbm_quant,california_housing,32,32,4,0.0,0.3134202692277871,0.33129160112042166,0.3400236614776109,976
lgbm_base,mushroom,2,2,8,0.0,0.9917934689690545,0.9907692307692307,0.9963076923076923,88
lgbm_base,mushroom,1,1,4,0.0,0.9726448965635152,0.9784615384615385,0.9815384615384616,23
lgbm_quant,mushroom,1,1,4,0.0,0.9726448965635152,0.9784615384615385,0.9815384615384616,23
lgbm_quant,mushroom,2,2,8,0.0,0.9726448965635152,0.9784615384615385,0.9815384615384616,88
lgbm_base,mushroom,64,64,8,0.0,1.0,1.0,1.0,3664
lgbm_quant,mushroom,64,64,8,0.0,1.0,1.0,1.0,3664
lgbm_base,mushroom,256,256,1,0.0,0.9868353564711917,0.9846153846153847,0.9895384615384616,768
lgbm_base,kin8nm,32,32,8,0.0,0.018560867724070392,0.02228557677677098,0.02636393878497179,1952
lgbm_base,california_housing,256,256,1,0.0,0.3819978499652735,0.38176190952929306,0.39725282501463277,768
lgbm_base,california_housing,16,16,2,0.0,0.6349003329225198,0.6283513506444544,0.6511971622705807,112
lgbm_base,california_housing,2,2,8,0.0,1.0264499963636216,1.0027013863824936,1.0586366839422627,122
lgbm_quant,mushroom,256,256,1,0.0,0.9868353564711917,0.9846153846153847,0.9895384615384616,768
lgbm_quant,kin8nm,32,32,8,0.0,0.01857214208745564,0.02229499012749926,0.026369652887406832,1952
lgbm_quant,california_housing,16,16,2,0.0,0.6354693143914063,0.6285118896044514,0.6515288676866565,112
lgbm_quant,california_housing,2,2,8,0.0,1.0264064983996712,1.0029918351858471,1.0585122578992783,122
lgbm_base,kin8nm,128,128,1,0.0,0.039314501657989505,0.03922484077151582,0.04347172050896446,384
lgbm_base,california_housing,1,1,4,0.0,1.1806440700627439,1.1435834795446203,1.2135843062509823,31
lgbm_quant,california_housing,1,1,4,0.0,1.1805021530669493,1.1435988786864044,1.2133094520291232,31
lgbm_quant,kin8nm,128,128,1,0.0,0.039317995758397825,0.03922257372644771,0.04347475794896246,384
lgbm_quant,california_housing,256,256,1,0.0,0.38394503243937556,0.38199834513099096,0.39848105672332845,768
lgbm_base,california_housing,64,64,8,0.0,0.18286506317281226,0.24088707196774825,0.2409937517752283,3904
lgbm_quant,california_housing,64,64,8,0.0,0.9473547412963059,1.1365906430848687,0.9492063970393593,3904
lgbm_base,mushroom,1024,1024,4,0.0,1.0,1.0,1.0,7886
lgbm_base,california_housing,512,512,2,0.0,0.22722136835725312,0.26233493840595895,0.263799421100223,3584
lgbm_base,kin8nm,256,256,8,0.0,0.0030876517418829733,0.012695859100312635,0.013286882576391103,15104
lgbm_quant,kin8nm,256,256,8,0.0,35.398251168046386,35.52459741778945,35.17314798575189,15104
lgbm_quant,california_housing,512,512,2,0.0,22.86875615106118,23.52261137949167,22.559673383849045,3584
lgbm_quant,covtype,256,256,4,0.0,0.5201134038362242,0.5186205116068932,0.5223875459325491,7648
lgbm_base,california_housing,1024,1024,4,0.0,0.09412637192973267,0.2122478276576817,0.20761562598307834,27282
lgbm_quant,california_housing,1024,1024,4,0.0,68.16306040336616,66.9216129346471,69.08847010516749,27282
lgbm_base,breastcancer,32,32,2,0.0,0.9853300733496333,1.0,0.956140350877193,224
lgbm_quant,breastcancer,32,32,2,0.0,0.9853300733496333,1.0,0.956140350877193,224
lgbm_base,breastcancer,64,64,4,0.0,1.0,1.0,0.9736842105263158,1184
lgbm_base,breastcancer,1,1,2,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,7
lgbm_quant,breastcancer,64,64,4,0.0,1.0,1.0,0.9736842105263158,1184
lgbm_quant,breastcancer,1,1,2,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,7
lgbm_base,breastcancer,16,16,1,0.0,0.9437652811735942,0.9782608695652174,0.9298245614035088,48
lgbm_quant,breastcancer,16,16,1,0.0,0.9437652811735942,0.9782608695652174,0.9298245614035088,48
