no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
34.0,3.0,9.0,374.0,237.0,16135.0,23744.0,0.0,0.192529,0.46428604300840426,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
4.0,3.0,8.0,66.0,40.0,2540.0,4080.0,0.0,0.0,0.22080938638430736,0.000976562,0.0078125
4.0,5.0,9.0,211.0,119.0,9060.0,12928.0,0.0,0.224202,0.2735264043316751,0.000976562,0.0078125
4.0,7.0,9.0,271.0,150.0,17083.0,16400.0,0.0,0.223739,0.27652217414042624,0.000976562,0.0078125
9.0,3.0,9.0,122.0,80.0,4934.0,8160.0,0.0,0.0,0.3144049992194432,0.000976562,0.0078125
9.0,5.0,9.0,285.0,164.0,13730.0,17568.0,0.0,0.208719,0.37040037269198,0.000976562,0.0078125
9.0,7.0,9.0,320.0,182.0,26477.0,19584.0,0.0,0.210223,0.36128892128924595,0.000976562,0.0078125
14.0,3.0,9.0,174.0,119.0,7104.0,12128.0,0.0,0.0,0.36636439039762236,0.000976562,0.0078125
14.0,5.0,9.0,327.0,191.0,17074.0,20192.0,0.0,0.201778,0.4115764140487598,0.000976562,0.0078125
14.0,7.0,9.0,356.0,208.0,35390.0,22096.0,0.0,0.203489,0.40155373682607953,0.000976562,0.0078125
19.0,3.0,9.0,210.0,148.0,8925.0,14976.0,0.0,0.0,0.3956559935374472,0.000976562,0.0078125
19.0,5.0,9.0,351.0,209.0,19811.0,21808.0,0.0,0.198327,0.43153340297416176,0.000976562,0.0078125
19.0,7.0,9.0,390.0,232.0,44229.0,24384.0,0.0,0.197858,0.4342155873487664,0.000976562,0.0078125
29.0,3.0,9.0,268.0,195.0,11826.0,19440.0,0.0,0.0,0.43793136885362516,0.000976562,0.0078125
24.0,5.0,9.0,373.0,227.0,22485.0,23424.0,0.0,0.19542,0.44807267969372055,0.000976562,0.0078125
23.0,7.0,9.0,406.0,243.0,50902.0,25296.0,0.0,0.196234,0.44346789705473943,0.000976562,0.0078125
29.0,3.0,9.0,268.0,195.0,11826.0,19440.0,0.0,0.0,0.43793136885362516,0.000976562,0.0078125
24.0,5.0,9.0,373.0,227.0,22485.0,23424.0,0.0,0.19542,0.44807267969372055,0.000976562,0.0078125
23.0,7.0,9.0,406.0,243.0,50902.0,25296.0,0.0,0.196234,0.44346789705473943,0.000976562,0.0078125
29.0,3.0,9.0,268.0,195.0,11826.0,19440.0,0.0,0.0,0.43793136885362516,0.000976562,0.0078125
24.0,5.0,9.0,373.0,227.0,22485.0,23424.0,0.0,0.19542,0.44807267969372055,0.000976562,0.0078125
23.0,7.0,9.0,406.0,243.0,50902.0,25296.0,0.0,0.196234,0.44346789705473943,0.000976562,0.0078125
29.0,3.0,9.0,268.0,195.0,11826.0,19440.0,0.0,0.0,0.43793136885362516,0.000976562,0.0078125
24.0,5.0,9.0,373.0,227.0,22485.0,23424.0,0.0,0.19542,0.44807267969372055,0.000976562,0.0078125
23.0,7.0,9.0,406.0,243.0,50902.0,25296.0,0.0,0.196234,0.44346789705473943,0.000976562,0.0078125
28.0,3.0,9.0,292.0,183.0,12782.0,18176.0,0.0,0.198553,0.430234874643296,0.000976562,0.0078125
24.0,5.0,9.0,373.0,227.0,22485.0,23424.0,0.0,0.19542,0.44807267969372055,0.000976562,0.0078125
23.0,7.0,9.0,406.0,243.0,50902.0,25296.0,0.0,0.196234,0.44346789705473943,0.000976562,0.0078125
29.0,3.0,9.0,268.0,195.0,11826.0,19440.0,0.0,0.0,0.43793136885362516,0.000976562,0.0078125
24.0,5.0,9.0,373.0,227.0,22485.0,23424.0,0.0,0.19542,0.44807267969372055,0.000976562,0.0078125
23.0,7.0,9.0,406.0,243.0,50902.0,25296.0,0.0,0.196234,0.44346789705473943,0.000976562,0.0078125
