no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,200
35,3,9,337,246,14826,24672,0,0.0,0.4606404334031513,0.000976562,0.00390625,500
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,500
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,500
34,3,9,374,237,16135,23744,0,0.192529,0.4642860430084042,0.000976562,0.00390625,1000
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,1000
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,1000
34,3,9,374,237,16135,23744,0,0.192529,0.4642860430084042,0.000976562,0.00390625,5000
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,5000
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,5000
34,3,9,374,237,16135,23744,0,0.192529,0.4642860430084042,0.000976562,0.00390625,10000
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,10000
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,10000
34,3,9,374,237,16135,23744,0,0.192529,0.4642860430084042,0.000976562,0.00390625,100000
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,100000
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,100000
4,3,8,66,40,2540,4080,0,0.0,0.2208093863843073,0.000976562,0.0078125,5
4,5,9,211,119,9060,12928,0,0.224202,0.2735264043316751,0.000976562,0.0078125,5
4,7,9,271,150,17083,16400,0,0.223739,0.2765221741404262,0.000976562,0.0078125,5
9,3,9,122,80,4934,8160,0,0.0,0.3144049992194432,0.000976562,0.0078125,10
9,5,9,285,164,13730,17568,0,0.208719,0.370400373,0.000976562,0.0078125,10
9,7,9,320,182,26477,19584,0,0.210223,0.3612889212892459,0.000976562,0.0078125,10
14,3,9,174,119,7104,12128,0,0.0,0.3663643903976223,0.000976562,0.0078125,15
14,5,9,327,191,17074,20192,0,0.201778,0.4115764140487598,0.000976562,0.0078125,15
14,7,9,356,208,35390,22096,0,0.203489,0.4015537368260795,0.000976562,0.0078125,15
19,3,9,210,148,8925,14976,0,0.0,0.3956559935374472,0.000976562,0.0078125,20
19,5,9,351,209,19811,21808,0,0.198327,0.4315334029741617,0.000976562,0.0078125,20
19,7,9,390,232,44229,24384,0,0.197858,0.4342155873487664,0.000976562,0.0078125,20
29,3,9,268,195,11826,19440,0,0.0,0.4379313688536251,0.000976562,0.0078125,30
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,30
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,30
29,3,9,268,195,11826,19440,0,0.0,0.4379313688536251,0.000976562,0.0078125,40
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,40
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,40
29,3,9,268,195,11826,19440,0,0.0,0.4379313688536251,0.000976562,0.0078125,50
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,50
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,50
29,3,9,268,195,11826,19440,0,0.0,0.4379313688536251,0.000976562,0.0078125,100
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,100
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,100
28,3,9,292,183,12782,18176,0,0.198553,0.430234875,0.000976562,0.0078125,200
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,200
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,200
29,3,9,268,195,11826,19440,0,0.0,0.4379313688536251,0.000976562,0.0078125,500
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,500
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,500
28,3,9,292,183,12782,18176,0,0.198553,0.430234875,0.000976562,0.0078125,1000
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,1000
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,1000
28,3,9,292,183,12782,18176,0,0.198553,0.430234875,0.000976562,0.0078125,5000
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,5000
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,5000
28,3,9,292,183,12782,18176,0,0.198553,0.430234875,0.000976562,0.0078125,10000
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,10000
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,10000
28,3,9,292,183,12782,18176,0,0.198553,0.430234875,0.000976562,0.0078125,100000
24,5,9,373,227,22485,23424,0,0.19542,0.4480726796937205,0.000976562,0.0078125,100000
23,7,9,406,243,50902,25296,0,0.196234,0.4434678970547394,0.000976562,0.0078125,100000
4,3,8,66,40,2540,4080,0,0.0,0.2208093863843073,0.000976562,0.015625,5
4,5,9,159,91,7232,9792,0,0.226477,0.2587092651653881,0.000976562,0.015625,5
4,7,9,190,104,13597,11248,0,0.226536,0.2583225099714851,0.000976562,0.015625,5
9,3,9,120,79,4867,8048,0,0.0,0.3136041373167474,0.000976562,0.015625,10
9,5,9,205,119,10598,12528,0,0.21296,0.3445493834475359,0.000976562,0.015625,10
9,7,9,237,134,23526,14208,0,0.213179,0.3432040425776268,0.000976562,0.015625,10
14,3,9,160,111,6632,11232,0,0.0,0.36068481028759,0.000976562,0.015625,15
14,5,9,235,139,13855,14368,0,0.20701,0.3806661186514799,0.000976562,0.015625,15
14,7,9,256,147,31856,15264,0,0.20862,0.3709943174560647,0.000976562,0.015625,15
19,3,9,187,131,8133,13072,0,0.0,0.3849948088117711,0.000976562,0.015625,20
19,5,9,262,157,16699,15984,0,0.202632,0.4065867051245656,0.000976562,0.015625,20
19,7,9,282,163,40421,16656,0,0.204525,0.3954485258712402,0.000976562,0.015625,20
24,3,9,204,144,9180,14128,0,0.0,0.3979206101263867,0.000976562,0.015625,30
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,30
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,30
24,3,9,204,144,9180,14128,0,0.0,0.3979206101263867,0.000976562,0.015625,40
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,40
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,40
24,3,9,204,144,9180,14128,0,0.0,0.3979206101263867,0.000976562,0.015625,50
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,50
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,50
24,3,9,204,144,9180,14128,0,0.0,0.3979206101263867,0.000976562,0.015625,100
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,100
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,100
22,3,9,216,136,9573,13392,0,0.204112,0.3978850643649009,0.000976562,0.015625,200
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,200
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,200
24,3,9,204,144,9180,14128,0,0.0,0.3979206101263867,0.000976562,0.015625,500
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,500
