model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,memory_usage,max_memory,randomseed
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,8000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,16000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,32000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,64000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,128000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,256000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,512000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,1024000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,2048000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,4096000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,8192000,1
rf_guo,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,6192.0,16384000,1
lgbm_base,covtype,2.0,2.0,2.0,0.0,1e+34,0.7339988382349777,0.7300672099687615,6.0,1792.0,2000,1
lgbm_base,covtype,1.0,1.0,4.0,0.0,1e+34,0.747273079322734,0.7432596404567868,15.0,3968.0,4000,1
lgbm_base,covtype,1.0,1.0,8.0,0.0,1e+34,0.7680342505539898,0.762424378028106,255.0,7808.0,8000,1
lgbm_base,covtype,2.0,2.0,8.0,0.0,1e+34,0.7770486865600998,0.7730179083156201,510.0,15616.0,16000,1
lgbm_base,covtype,4.0,4.0,8.0,0.0,1e+34,0.7825347991652504,0.778473877610733,1020.0,31232.0,32000,1
lgbm_base,covtype,8.0,8.0,8.0,0.0,1e+34,0.7889029926206407,0.7863136063612816,2040.0,62464.0,64000,1
lgbm_base,covtype,16.0,16.0,8.0,0.0,1e+34,0.7935715668767883,0.7909004070462897,4080.0,124928.0,128000,1
lgbm_base,covtype,32.0,32.0,8.0,0.0,1e+34,0.8099868763580818,0.8072683149316283,8160.0,249856.0,256000,1
lgbm_base,covtype,64.0,64.0,8.0,0.0,1e+34,0.8257782749940836,0.8226121528704078,16320.0,499712.0,512000,1
lgbm_base,covtype,128.0,128.0,8.0,0.0,1e+34,0.8452916245347561,0.8424653408259684,32640.0,999424.0,1024000,1
lgbm_base,covtype,256.0,256.0,8.0,0.0,1e+34,0.8719476775456638,0.8683941034224589,65280.0,1998848.0,2048000,1
lgbm_base,covtype,512.0,512.0,8.0,0.0,1e+34,0.8998730664142338,0.8976360334931112,130560.0,3997696.0,4096000,1
lgbm_base,covtype,1024.0,1024.0,8.0,0.0,1e+34,0.9279920827865148,0.9249933306369028,261120.0,7995392.0,8192000,1
lgbm_base,covtype,1024.0,1024.0,8.0,0.0,1e+34,0.9279920827865148,0.9249933306369028,261120.0,7995392.0,16384000,1
lgbm_quant,covtype,1.0,1.0,4.0,0.0,1e+34,0.747230050988576,0.7435005980912713,15.0,1984.0,2000,1
lgbm_quant,covtype,1.0,1.0,8.0,0.0,1e+34,0.7678621372173576,0.762476011806924,255.0,3904.0,4000,1
lgbm_quant,covtype,2.0,2.0,8.0,0.0,1e+34,0.7770917148942579,0.7730265139454231,510.0,7808.0,8000,1
lgbm_quant,covtype,4.0,4.0,8.0,0.0,1e+34,0.7826208558335664,0.7784566663511269,1020.0,15616.0,16000,1
lgbm_quant,covtype,8.0,8.0,8.0,0.0,1e+34,0.789225705126826,0.7863652401400997,2040.0,31232.0,32000,1
lgbm_quant,covtype,16.0,16.0,8.0,0.0,1e+34,0.7936576235451045,0.7908831957866836,4080.0,62464.0,64000,1
lgbm_quant,covtype,32.0,32.0,8.0,0.0,1e+34,0.810115961360556,0.8072769205614313,8160.0,124928.0,128000,1
lgbm_quant,covtype,64.0,64.0,8.0,0.0,1e+34,0.8257567608270046,0.8224916740531656,16320.0,249856.0,256000,1
lgbm_quant,covtype,128.0,128.0,8.0,0.0,1e+34,0.8454207095372303,0.8423878901577412,32640.0,499712.0,512000,1
lgbm_quant,covtype,128.0,128.0,8.0,0.0,1e+34,0.8454207095372303,0.8423878901577412,32640.0,499712.0,1024000,1
